product_id,name,price,original_price,discount,brand,category,availability,description,,,,,,,,,,
3663,California Garden Sweet Corn Seeds 330g,49.99  LE,59.99 LE,16.7%,Calfornia,Calfornia,in stock,"The California Garden Kernel Sweet Corn helps you give a refreshing twist to your food. It is carefully selected to deliver you a premium quality product. Corn is a rich source of various vitamins and minerals that keep you energized for a more extended period. The freshness of this Americana sweet corn reflects in its delicious flavor. You can add it to many dishes like tacos, salads, soups and many more.",,,,,,,,,,
3727,Metro Chick Peas 400g,24.99  LE,34.75 LE,28.1%,Metro Private,Metro Private,in stock,Metro Chick Peas 400g,,,,,,,,,,
4408,Regina Spaghetti Pasta 1.6mm - 400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"The Regina Pasta 1.6mm Spaghetti serves as a promising candidate for trying out various pasta cuisines. Derived from 100% freshly extracted durum wheat semolina, the spaghetti is authentic in flavor and color. These fine-quality pasta pieces are easy to simmer and have a consistent texture that results in them being uniformly cooked.",,,,,,,,,,
4409,Regina Small Rings Pasta 6mm - 400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"The Regina Pasta Small Rings serve as a promising candidate for trying out various pasta cuisines. Derived from 100% freshly extracted durum wheat semolina, the pasta rings are authentic in flavor and color. These fine-quality pasta pieces are easy to simmer and have a consistent texture that results in them being uniformly cooked.",,,,,,,,,,
4410,Regina Vermicelli No.10 Pasta400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"Give that online recipe a try with the promising Regina Pasta Vermicelli. Derived from 100% freshly extracted durum wheat semolina, the pasta vermicelli is authentic in flavor and color. These fine-quality pasta pieces are easy to simmer and have a consistent texture that results in them being uniformly cooked.",,,,,,,,,,
4411,Regina Penne Pasta - 400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"Experiment on different online recipes with the appetizing Regina Pasta Penne. Derived from 100% freshly extracted durum wheat semolina, the pasta penne is authentic in flavor and color. These fine-quality pasta pieces are easy to simmer and have a consistent texture that results in them being uniformly cooked.",,,,,,,,,,
4413,Regina Big Rings Pasta - 400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"The Regina Pasta Big Rings serve as a promising candidate for trying out various pasta cuisines. Derived from 100% freshly extracted durum wheat semolina, the pasta rings are authentic in flavor and color. These fine-quality pasta pieces are easy to simmer and have a consistent texture that results in them being uniformly cooked.",,,,,,,,,,
4416,Regina Elbow Pasta - 400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"The Regina Pasta Elbow gives you a great start for preparing the most anticipated pasta recipe. Derived from 100% freshly extracted durum wheat semolina, the pasta is authentic in flavor and color. These fine-quality pasta pieces are easy to simmer and have a consistent texture that results in them being uniform cooked.",,,,,,,,,,
4417,Regina Shells Pasta - 400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"Prepare delicious pasta dishes using the refined Regina Pasta Shells for enhancing their look and feel. Derived from 100% freshly extracted durum wheat semolina, the pasta rings are authentic in flavor and color. These fine-quality pasta pieces are easy to simmer and have a consistent texture that results in them being uniformly cooked.",,,,,,,,,,
4418,Regina Fusilli Pasta - 400g,23.75  LE,28.99 LE,18.1%,Regina,Regina,in stock,"Give that online recipe a try with the promising Regina Pasta Fusilli. Derived from 100% freshly extracted durum wheat semolina, the pasta is authentic in flavor and color. These fine-quality pasta pieces are easy to simmer and have a consistent texture that results in them being uniformly cooked.",,,,,,,,,,
